,fpos1,fpos2,fvel1,fvel2,facc1,facc2,spos1,spos2,svel1,svel2,sacc1,sacc2
0,-0.0004131777697613553,-0.0004454276945933959,-4.1317758383143115e-07,-4.4542749415101126e-07,-2.2724754612113684e-10,-2.4498498704131336e-10,0.003243324245220449,-0.03526662670917514,-0.00505825271976831,-0.008197557377541066,-0.0004843238112285139,-0.00046394753558713295
1,-0.002453584954184379,0.0006647635438477945,-4.496024511498649e-06,1.7760618761678354e-06,-4.821613093203811e-09,2.254823627057467e-09,0.0032382657285770257,-0.035274824519206,-0.005058780567077663,-0.008198062684178919,-0.0005278473093542157,-0.000505306637855341
2,-0.0035091320088970115,0.0016096135677025809,-7.66581126617358e-06,4.613432345746019e-06,-1.0318407034515111e-08,7.175171064670248e-09,0.0032332066625776878,-0.03528302285481583,-0.0050593514316002045,-0.008198608535477932,-0.0005708645225412904,-0.0005458512990146534
3,-0.0041683058503895485,0.0025480011230707687,-1.0306423439001764e-05,8.37257618183857e-06,-1.6593898147097545e-08,1.6108902845210444e-08,0.0032281470044585965,-0.03529122175614384,-0.005059964806582066,-0.008199194120539143,-0.0006133749818615839,-0.0005855850612092547
4,-0.00530836047131904,0.002846960653865173,-1.60180034034351e-05,9.870322215007116e-06,-3.4028729661208764e-08,2.0680797997057146e-08,0.0032230867119629825,-0.03529942126252016,-0.005060620184644827,-0.008199818632112268,-0.0006553780627610754,-0.0006245115731262829
5,-0.004580237548777889,0.004098325340585125,-1.1638344588518223e-05,1.7397134046361765e-05,-1.7551539213793994e-08,4.899793704610027e-08,0.0032180257433418076,-0.035307621412469556,-0.005061317057698868,-0.008200481266693854,-0.000696873054039944,-0.0006626345815850922
6,-0.005794502828949327,0.004700141821669334,-2.01634753661143e-05,2.1622334324983412e-05,-5.596099024188398e-08,6.803413479485313e-08,0.003212964057354532,-0.0353158222437152,-0.005062054916852284,-0.008201181224593122,-0.0007378591534165248,-0.0006999578992704412
7,-0.005106397208933109,0.003440622637055462,-1.4639390031141864e-05,1.1511051277033965e-05,-2.6780409452391543e-08,1.4622195937075894e-08,0.003207901613269913,-0.0353240237931825,-0.005062833252389437,-0.008201917710013752,-0.0007783355371515381,-0.0007364854206299939
8,-0.004710267758136251,0.0015159360155240608,-1.105996395129608e-05,-5.879995601508556e-06,-4.970881582275568e-09,-9.134116083812989e-08,0.003202838370866847,-0.035332226097003094,-0.005063651553745617,-0.008202689931150984,-0.0008183013561791171,-0.0007722211372298365
9,-0.0035891495855696377,0.00218955503116274,2.0137955572393783e-07,8.862380032091485e-07,7.315222657192799e-08,-4.440128178273512e-08,0.0031977742904352336,-0.03534042919051875,-0.005064509309479755,-0.008203497100162415,-0.0008577557341382568,-0.0008071690114302751
